CHARLPLAMR  1908  24  38  24  78  24  31  24   9  24  40  24 428  24 703-999-999 141PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1909  24  37  24  74  24  34  24   9  24  43  24 410  24 666-999-999 142PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1910  24  37  24  76  24  33  24   9  24  42  24 411  24 681-999-999 143PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1911  24  37  24  73  24  34  24   9  24  43  24 418  24 653-999-999 144PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1912  24  38  24  74  24  38  24  10  24  48  24 425  24 670-999-999 145PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1913  24  36  24  73  24  47  24   9  24  56  24 398  24 650-999-999 146PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1914  24  36  24  75  24  37  24   9  24  46  24 406  24 674-999-999 147PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1915  24  39  24  78  24  27  24   8  24  35  24 433  24 698-999-999 148PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1916  24  36  24  71  24  30  24   8  24  38  24 403  24 636-999-999 149PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1917  24  35  24  67  24  34  24   9  24  43  24 401  24 601-999-999 150PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1918  24  37  24  67  24  30  24   8  24  38  24 413  24 607-999-999 151PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1919  24  36  24  73  24  33  24  10  24  43  24 404  24 653-999-999 152PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1920  24  37  24  74  24  31  24   9  24  39  24 411  24 665-999-999 153PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1921  24  36  24  74  24  32  24   8  24  40  24 407  24 673-999-999 154PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1922  24  38  24  77  24  28  24  10  24  39  24 431  24 696-999-999 155PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1923  24  37  24  70  24  34  24   8  24  42  24 416  24 630-999-999 156PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1924  24  38  24  75  24  31  24  11  24  42  24 425  24 670-999-999 157PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1925  24  37  24  75  24  28  24   8  24  36  24 419  24 673-999-999 158PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1926  24  38  24  74  24  21  24   7  24  28  24 431  24 677-999-999 159PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1927  24  37  24  76  24  31  24  10  24  40  24 428  24 685-999-999 160PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1928  24  36  24  70  24  36  24  10  24  47  24 413  24 627-999-999 161PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1929  24  37  24  74  24  30  24   8  24  38  24 420  24 665-999-999 162PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1930  24  37  24  73  24  30  24   8  24  37  24 412  24 662-999-999 163PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1931  24  37  24  73  24  26  24   8  24  34  24 413  24 657-999-999 164PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1932  24  38  24  75  24  28  24   8  24  36  24 424  24 674-999-999 165PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1933  24  38  24  72  24  25  24   8  24  34  24 427  24 651-999-999 166PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1934  24  38  24  67  24  29  24   8  24  37  24 422  24 611-999-999 167PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1935  24  38  24  77  24  31  24   9  24  39  24 434  24 694-999-999 168PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1936  24  36  24  67  24  28  24   9  24  36  24 407  24 608-999-999 169PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1937  24  39  24  77  24  21  24   8  24  30  24 439  24 701-999-999 170PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1938  24  38  24  74  24  28  24   9  24  37  24 430  24 665-999-999 171PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1939  24  39  24  71  24  24  24   8  24  31  24 433  24 646-999-999 172PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1940  24  39  24  76  24  24  24   8  24  32  24 439  24 685-999-999 173PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1941  24  37  24  74  24  30  24   8  24  38  24 424  24 661-999-999 174PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1942  24  39  24  72  24  28  24   8  24  36  24 430  24 650-999-999 175PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1943  24  37  24  72  24  30  24   8  24  39  24 422  24 648-999-999 176PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1944  24  38  24  74  24  28  24   8  24  36  24 429  24 676-999-999 177PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1945  24  37  24  67  24  28  24   8  24  36  24 410  24 605-999-999 178PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1946  24  37  24  73  24  27  24   7  24  35  24 413  24 657-999-999 179PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1947  24  36  24  67  24  26  24   8  24  34  24 411  24 610-999-999 180PCMA0197Charlie Lake, CDN  832  
